CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
511,B145,Java Prog Algorithmic Design I,Object-Oriented Programming I,4,NULL
512,B140,Jazz and America Popular Music,Jazz and America Popular Music,3,NULL
513,B117,Karate,Karate,1,NULL
514,B147,Kayaking,Kayaking,1,NULL
515,B203,Laboratory in Psychology,Laboratory in Psychology,3,NULL
516,B406,Late Shakespeare,Late Shakespeare,3,NULL
517,B420,Latin Am: Founding New Society,Latin Am: Founding New Society,3,NULL
518,B420,Leadership & Management Public,Leadership & Management Public,3,NULL
519,B420,Leadership and Mgmt,Leadership and Mgmt,3,NULL
520,B400,Leadership and Prof Ethics,Leadership and Prof Ethics,3,NULL
521,B403,Leadership in Organizations,Leadership in Organizations,3,NULL
522,B400,Leading Diverse Teams,Leading Diverse Teams,3,NULL
523,B410,Leading in Organizations,Leading in Organizations,3,NULL
524,B302,Learning and Memory,Learning and Memory,3,NULL
525,B250,Liberal Studies Internship,Liberal Studies Internship,3,NULL
526,B448,Life and Death in Salt Marsh,Life and Death in Salt Marsh,4,NULL
527,B321,Life Span Developmental Psyc,Life Span Developmental Psyc,3,NULL
528,B322,Life-Cycle Nutrition,Life-Cycle Nutrition,3,NULL
529,B230,Linear Algebra,Linear Algebra,3,NULL
530,B407,Lit Tend Mstrpc Spanish Am II,Lit Tend Mstrpc Spanish Am II,3,NULL
531,B404,Lit Tend Mstrpcs of Spain I,Lit Tend Mstrpcs of Spain I,3,NULL
532,B405,Lit Tend Mstrpcs of Span Am I,Lit Tend Mstrpcs of Span Am I,3,NULL
533,B406,Lit Tend Mstrpcs Spain II,Lit Tend Mstrpcs Spain II,3,NULL
534,B450P,Lit/Social St Practicum I,Lit/Social St Practicum I,3,NULL
535,B428,Literacy Content for Teachers,Literacy Content for Teachers,3,NULL
536,B432,Literature for Young Adults,Adolescent Literature & Devel,3,NULL
537,B398,Love Sucks (Taught in English),Selected Topics,3,NULL
