CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
840,B375,TopicsHispanic Cults and Lit,TopicsHispanic Cults and Lit,3,NULL
841,B460,Topology,Topology,3,NULL
842,B280,Tourism,Tourism,3,NULL
843,B420,Transatlantic Literature,Transatlantic Literature,3,NULL
844,B300,Transcultural Health,Transcultural Health,3,NULL
845,B330,Transcultural Health,Transcultural Health Practices,3,NULL
846,B330,Transcultural Health Practices,Transcultural Health Practices,3,NULL
847,B413,Trauma & Recovery,Trauma & Recovery,3,NULL
848,B420,Trends and Issues in Nursing,Trends and Issues in Nursing,3,NULL
849,B402,Tudor Literature,Tudor Literature,3,NULL
850,B200,Understand and Appreciate Thea,Understand and Appreciate Thea,3,NULL
851,B102,Understand Other Cultures,Understand Other Cultures,3,NULL
852,B129,University Chorus,University Chorus,1,NULL
853,B430,US Constitutional History,US Constitutional History,3,NULL
854,B412,Victorian Literature,Victorian Literature,3,NULL
855,B281,Video Game Design 1,Video Game Design 1,3,NULL
856,B381,Video Game Design 2,Video Game Design 2,3,NULL
857,B350,Wedding and Special Event Mgmt,Wedding and Special Event Mgmt,3,NULL
858,B290,Weekly Seminar in Science,Weekly Seminar in Science,1,NULL
859,B105,Weight Training,Weight Training,1,NULL
860,B106,Weight Training II,Weight Training II,1,NULL
861,B102,Well-Being in the University,Well-Being in the University,1,NULL
862,B370,Wellness in Health Promotion,Wellness in Health Promotion,3,NULL
863,B315,Wellness Trends in Hospitality,Wellness Trends in Hospitality,3,NULL
864,B437,Women Writers,Women Writers,3,NULL
865,B356,Women's Health Nursing,Care of Childbearing Families,3,NULL
866,B301,Women's History,Women's History,3,NULL
867,B403,Working with Older Adults,Working with Older Adults,3,NULL
868,B463,Workplace Writing,Workplace Writing,3,NULL
869,B100,Workshop for Non-Majors,Workshop for Non-Majors,3,NULL
870,B116,World History 1500 to Present,World History 1500 to Present,3,NULL
871,B115,World History to 1500,World History to 1500,3,NULL
872,B270,World Literature,World Literatures,3,NULL
873,B270,World Literatures,World Literatures,3,NULL
874,B302,World of the Ancient Greeks,World of the Ancient Greeks,3,NULL
875,B303,World of the Ancient Romans,World of the Ancient Romans,3,NULL
876,B121,World Regional Geography,World Regional Geography,3,NULL
877,B315,Wrd Pop: Problems and Policies,Wrd Pop: Problems and Policies,3,NULL
878,B210,Writing Across Media Platforms,Writing Across Media Platforms,3,NULL
879,B626,Writing Across the Curriculum,Writing Across the Curriculum,3,NULL
880,B215,Writing Center Practicum,Writing Center Practicum,1,NULL
881,B461,Writing in Health Professions,Writing in Health Professions,3,NULL
882,B461,Writing in the Health Professi,Writing in the Health Professi,3,NULL
883,B466,Writing Internship,Writing Internship,1,6
884,B110,Writing Praxis Core,Writing Praxis Core,1,NULL
885,B320,Yoga Disciplines & Practice,Yoga Disciplines & Practice,3,NULL
886,B136,Yoga I,Yoga I,1,NULL
