CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
81,304,270,22,7,76525,3,30,W01,NULL,NULL
82,836,107,15,7,28707,3,35,W01,NULL,NULL
83,836,113,56,76,30275,3,25,1,M W    ,5:00 PM - 6:15 PM
84,836,145,1,39,21097,3,35,1,T Th   ,4:30 PM - 5:45 PM
85,836,145,5,39,19486,3,35,1,T Th   ,4:30 PM - 5:45 PM
86,836,291,25,87,28693,3,30,1,T Th   ,4:30 PM - 5:45 PM
87,836,291,34,76,28964,3,30,1,T Th   ,4:30 PM - 5:45 PM
88,836,291,45,48,27955,3,25,1,T Th   ,4:30 PM - 5:45 PM
89,836,410,66,93,28970,3,25,1,T Th   ,10:50 AM - 12:05 PM
90,836,410,75,93,27751,3,25,1,T Th   ,4:30 PM - 5:45 PM
91,836,410,75,93,31472,3,0,CH1,T Th   ,4:30 PM - 5:45 PM
92,836,410,86,91,28426,3,25,1,T Th   ,3:30 PM - 4:45 PM
93,9,104,1,80,21105,3,35,1,T     ,6:00 PM - 9:00 PM
94,9,104,5,80,19492,3,35,1,T     ,6:00 PM - 9:00 PM
95,9,291,15,80,25175,3,30,1,T     ,6:00 PM - 9:00 PM
96,9,379,25,39,28694,3,30,1,M W F  ,2:30 PM - 3:20 PM
97,9,379,34,41,28695,3,25,1,M W F  ,11:00 AM - 11:50 AM
98,9,379,45,94,31920,3,25,WS1,M W F  ,11:00 AM - 11:50 AM
99,9,379,56,81,27238,3,25,1,M W F  ,11:00 AM - 11:50 AM
100,9,379,66,76,28964,3,25,1,T Th   ,3:05 PM - 4:20 PM
101,9,379,75,76,27744,3,20,1,T Th   ,3:05 PM - 4:20 PM
102,9,379,86,76,28433,3,20,1,T Th   ,2:05 PM - 3:20 PM
103,193,104,39,86,57505,3,25,1,T Th   ,4:30 PM - 5:45 PM
104,193,104,49,39,55756,3,25,1,T Th   ,1:40 PM - 2:55 PM
105,193,104,60,94,58316,3,25,01W,NULL,NULL
106,193,104,69,94,56988,3,25,01W,NULL,NULL
107,193,270,1,75,24865,3,35,1,W    ,6:00 PM - 9:00 PM
108,193,270,8,78,52301,3,35,1,W    ,6:15 PM - 9:15 PM
109,193,270,19,81,50356,3,35,1,M W    ,3:20 PM - 4:35 PM
110,193,270,29,78,57383,3,35,1,M W    ,3:30 PM - 4:45 PM
111,193,410,78,92,56663,3,20,1,M W F  ,11:00 AM - 11:50 AM
112,193,410,89,87,56566,3,20,1,M W    ,12:00 PM - 1:15 PM
113,453,270,1,76,21108,3,35,1,M      ,6:00 PM - 9:00 PM
114,453,270,5,76,19495,3,35,1,M      ,6:15 PM - 9:15 PM
115,453,270,15,39,25716,3,30,1,M W    ,5:00 PM - 6:15 PM
116,453,379,25,39,28692,3,30,1,M W    ,3:30 PM - 4:45 PM
117,453,379,34,76,28698,3,25,1,M W    ,3:30 PM - 4:45 PM
118,453,379,45,86,25993,3,25,1,M W    ,3:30 PM - 4:45 PM
119,453,379,56,76,27239,3,25,1,M W    ,3:30 PM - 4:45 PM
120,453,410,66,39,28971,3,25,1,M W    ,3:30 PM - 4:45 PM
121,453,410,75,76,27752,3,25,1,T Th   ,10:50 AM - 12:05 PM
122,453,410,86,91,28428,3,25,1,T Th   ,9:50 AM - 11:05 AM
123,454,270,8,78,52302,3,35,1,M      ,6:15 PM - 9:15 PM
124,454,270,19,75,50357,3,34,1,M      ,6:15 PM - 9:15 PM
125,454,270,29,78,55458,3,35,1,M W    ,5:00 PM - 6:15 PM
126,454,379,39,76,54801,3,30,1,M W    ,5:00 PM - 6:15 PM
127,454,379,49,75,55757,3,25,1,M W    ,5:00 PM - 6:15 PM
128,454,379,60,75,58149,3,25,1,M W    ,3:30 PM - 4:45 PM
129,454,379,69,81,56990,3,25,1,M W    ,3:30 PM - 4:45 PM
130,454,379,78,76,56669,3,20,1,T Th   ,10:50 AM - 12:05 PM
131,454,379,89,76,56569,3,20,1,T Th   ,3:05 PM - 4:20 PM
132,459,104,45,NULL,25991,2,0,1,NULL,NULL
133,459,104,56,NULL,27217,2,0,1,NULL,NULL
134,459,104,39,NULL,59195,2,6,1,NULL,NULL
135,459,104,49,NULL,55758,2,5,1,NULL,NULL
136,459,104,60,NULL,58100,2,5,1,NULL,NULL
137,459,104,69,NULL,56989,2,0,1,NULL,NULL
138,459,104,41,NULL,75764,2,5,1,NULL,NULL
139,459,104,63,NULL,75784,2,0,1,NULL,NULL
140,459,270,1,NULL,21110,2,3,1,NULL,NULL
141,459,270,8,NULL,53236,2,5,1,NULL,NULL
142,459,270,19,NULL,51150,2,5,1,NULL,NULL
143,459,446,66,NULL,28950,2,5,1,NULL,NULL
144,459,446,67,NULL,31672,2,1,01B,NULL,NULL
145,459,446,75,NULL,27753,2,5,1,NULL,NULL
146,459,446,86,NULL,28462,2,5,1,NULL,NULL
147,459,446,78,NULL,56696,2,5,01W,NULL,NULL
148,459,446,89,NULL,56554,2,5,1,NULL,NULL
